MARKETID,MARKETNAME,CITY,PHONE,LATITUDE,LONGITUDE,ADDRESSLINE1,ADDRESSLINE2,STATE,COUNTRY,POSTALCODE
4,Safeway,San Jose,408-272-2287,37.3884602694705,-121.858540104065,2558 Berryessa Rd,,CA,US,95132
5,Safeway,San Jose,408-274-5957,37.3302041860465,-121.811920232558,2980 E. Capitol Expressway,,CA,US,95148
6,Safeway,San Jose,408-292-4010,37.33482,-121.88812,100 S. 2Nd St.,,CA,US,95113
7,Safeway,San Jose,408-882-0999,37.32345,-121.91143,1300 W. San Carlos,,CA,US,95126
8,Safeway,Milpitas,408-262-9850,37.4331072169909,-121.89590083186,555 E Calaveras Blvd,,CA,US,95035
9,Safeway,Santa Clara,408-244-6873,37.34572,-121.93605,2605 The Alameda Ave.,,CA,US,95050
10,Safeway,San Jose,408-264-1523,37.29443,-121.911148235294,1530 Hamilton Ave.,,CA,US,95125
11,Safeway,Santa Clara,408-855-0980,37.3954110526316,-121.947238947368,3970 Rivermark Plaza,,CA,US,95054
12,Safeway,San Jose,408-227-4961,37.2660779987987,-121.833334924922,179 Branham Ln,,CA,US,95136
13,Safeway,Santa Clara,408-248-3305,37.3234455482577,-121.94922787265,3071 Stevens Creek,,CA,US,95050
14,Safeway,San Jose,408-267-1200,37.2599948914071,-121.876229713452,4950 Almaden Expwy,,CA,US,95118
15,Safeway,San Jose,408-362-9255,37.2473514069791,-121.803889490495,5760 Cottle Road,,CA,US,95123
16,Safeway,Santa Clara,408-248-0563,37.33908,-121.97451,2760 Homestead Rd,,CA,US,95051
17,Safeway,Campbell,408-364-6880,37.280546,-121.949798666667,2341 So Winchester Blvd,,CA,US,95008
18,Safeway,San Jose,408-267-0550,37.2520666666667,-121.906973333333,1663 Branham Ln,,CA,US,95118
19,Safeway,Campbell,408-871-1272,37.2940910714286,-121.965726071429,950 W. Hamilton Ave.,,CA,US,95008
20,Safeway,San Jose,408-556-0610,37.32297,-121.992978,5146 Stevens Creek,,CA,US,95129
21,Safeway,Fremont,510-497-1003,37.48995,-121.92943,46848 Mission Blvd,,CA,US,94539
22,Safeway,San Jose,408-268-3511,37.22032,-121.86063,6477 Almaden Expwy,,CA,US,95120
23,Safeway,Los Gatos,408-559-5750,37.2424969863014,-121.931216575342,15549 Union Ave,,CA,US,95032
24,Safeway,Morgan Hill,408-776-9861,37.11373,-121.64083,100 Tennant Ave.,,CA,US,95037
25,Safeway,Morgan Hill,408-776-8720,37.1303714285714,-121.636447142857,840 E Dunne Ave,,CA,US,95037
26,Safeway,Gilroy,408-842-6446,37.013584516129,-121.589308387097,905 First St.,,CA,US,95020
27,Safeway,Aptos,831-688-2775,36.9785257142857,-121.908091428571,16 Rancho Del Mar,,CA,US,95003
28,Safeway,Watsonville,831-728-2640,36.938139749749,-121.777531260389,2010 Freedom Blvd.,,CA,US,95019
29,Safeway,Los Gatos,408-354-9708,37.2312459807054,-121.979855632339,470 N. Santa Cruz Ave.,,CA,US,95030
30,Safeway,Soquel,831-477-7212,36.9857217065611,-121.964935813332,2720 41St St.,,CA,US,95073
31,Safeway,Scotts Valley,831-438-7431,37.04698,-122.03021,253 Mt Hermon Rd.,,CA,US,95066
32,Safeway,Los Gatos,408-374-2050,37.2646228384279,-121.984029257642,1500 Pollard Rd,,CA,US,95032
33,Safeway,Santa Cruz,831-426-7489,36.9816565456514,-122.006865785079,117 Morrissey Blvd,,CA,US,95062
34,Safeway,Fremont,510-794-1666,37.5446824242424,-121.989415454545,39100 Argonaut Way,,CA,US,94538
35,Safeway,Fremont,510-657-1625,37.5326836507847,-121.957668571752,3902 Washington Blvd,,CA,US,94538
36,Safeway,Newark,510-713-3180,37.5519240909091,-122.048058125,5877 Jarvis Ave,,CA,US,94560
37,Safeway,Union City,510-429-9090,37.5886724899598,-122.021036385542,1790 Decoto Rd,,CA,US,94587
38,Safeway,Hayward,510-783-8611,37.6524949378778,-122.089855824349,231 W Jackson St.,,CA,US,94544
39,Safeway,Palo Alto,650-321-8400,37.43226,-122.1275,2811 Middlefield Rd,,CA,US,94306
40,Safeway,Pleasanton,925-846-8644,37.65698,-121.88099,6790 Bernal Ave,,CA,US,94566
41,Safeway,Mountain View,650-961-4868,37.4028492508419,-122.078224912897,570 N. Shoreline Blvd.,,CA,US,94043
42,Safeway,Hayward,510-582-0700,37.6794861074179,-122.084681187537,22280 Foothill Blvd,,CA,US,94541
43,Safeway,Mountain View,650-948 4533,37.402365,-122.11299,645 San Antonio Rd,,CA,US,94040
44,Safeway,Castro Valley,510-886-7351,37.695873501547,-122.050773838747,4015 East Castro Valley Blvd,,CA,US,94552
45,Safeway,Pleasanton,925-417-5530,37.67496,-121.87341,1701 Santa Rita Rd,,CA,US,94566
46,Safeway,Menlo Park,650-847-2901,37.4505271641791,-122.177414925373,525 El Camino Real,,CA,US,94025
47,Safeway,Sunnyvale,408-732-5900,37.3731751020408,-122.056521632653,639 So Bernardo Ave,,CA,US,94087
48,Safeway,Sunnyvale,408-732-1259,37.3664782171284,-122.030809906129,150 E. El Camino Real,,CA,US,94087
49,Safeway,Castro Valley,510-538-3088,37.6962806020067,-122.073935685619,20629 Redwood Rd,,CA,US,94546
50,Safeway,Dublin,925-556-4034,37.7047421875,-121.927933125,7499 Dublin Blvd,,CA,US,94568
51,Safeway,Alameda,510-521-4833,37.73769,-122.23874,867 Island Dr.,,CA,US,94502
52,Safeway,Alameda,510-863-9000,37.7567392417152,-122.252704379954,2227 S. Shore Ctr.,,CA,US,94501
53,Safeway,Alameda,510-523-1804,37.7855077591681,-122.281456543649,2600 Fifth Street,,CA,US,94501
54,Safeway,Oakland,510-530-7067,37.8012167346939,-122.215808367347,3550 Fruitvale Ave,,CA,US,94602
55,Safeway,San Leandro,510-895-2660,37.72286,-122.15553,1499 Washington Ave,,CA,US,94577
56,Safeway,San Leandro,510-632-2949,37.7344585714286,-122.151644081633,555 Bancroft Ave,,CA,US,94577
57,Safeway,Oakland,510-465-4187,37.817298961039,-122.245187142857,3747 Grand Ave,,CA,US,94610
58,Safeway,Oakland,510-531-0565,37.7974024564573,-122.182969980648,4100 Redwood Rd,,CA,US,94619
